wkid,latestWkid,macro,name,wkt,description,authority,version,deprecated
1024,1024,"PE_S_CGCS2000","CGCS2000","SPHEROID[""CGCS2000"",6378137.0,298.257222101]","China Geodetic Coordinate System 2000","EPSG","7.1.12(10.2.0)","no"
1025,1025,"PE_S_GSK_2011","GSK-2011","SPHEROID[""GSK-2011"",6378136.5,298.2564151]","GSK-2011","EPSG","8.9(10.5.1)","no"
1026,1026,"PE_S_ZACH_1812","Zach_1812","SPHEROID[""Zach_1812"",6376045.0,310.0]","Zach 1812","EPSG","9.1(10.6.0)","no"
7001,7001,"PE_S_AIRY_1830","Airy_1830","SPHEROID[""Airy_1830"",6377563.396,299.3249646]","Airy 1830","EPSG","6.12(3.0.1)","no"
7002,7002,"PE_S_AIRY_MOD","Airy_Modified","SPHEROID[""Airy_Modified"",6377340.189,299.3249646]","Airy modified","EPSG","6.4(3.0.1)","no"
7003,7003,"PE_S_AUSTRALIAN","Australian","SPHEROID[""Australian"",6378160.0,298.25]","Australian National","EPSG","6.18(3.0.1)","no"
7004,7004,"PE_S_BESSEL_1841","Bessel_1841","SPHEROID[""Bessel_1841"",6377397.155,299.1528128]","Bessel 1841","EPSG","4.3(3.0.1)","no"
7005,7005,"PE_S_BESSEL_MOD","Bessel_Modified","SPHEROID[""Bessel_Modified"",6377492.018,299.1528128]","Bessel modified","EPSG","4.3(3.0.1)","no"
7006,7006,"PE_S_BESSEL_NAMIBIA","Bessel_Namibia","SPHEROID[""Bessel_Namibia"",6377483.865280418,299.1528128]","Bessel Namibia","EPSG","4.3(3.0.1)","no"
7007,7007,"PE_S_CLARKE_1858","Clarke_1858","SPHEROID[""Clarke_1858"",6378293.645208759,294.260676369]","Clarke 1858","EPSG","6.8(3.0.1)","no"
7008,7008,"PE_S_CLARKE_1866","Clarke_1866","SPHEROID[""Clarke_1866"",6378206.4,294.9786982]","Clarke 1866","EPSG","8.1.2(3.0.1)","no"
7009,7009,"PE_S_CLARKE_1866_MICH","Clarke_1866_Michigan","SPHEROID[""Clarke_1866_Michigan"",6378450.047,294.978684677]","Clarke 1866 Michigan","EPSG","2.1(3.0.1)","no"
7010,7010,"PE_S_CLARKE_1880_BENOIT","Clarke_1880_Benoit","SPHEROID[""Clarke_1880_Benoit"",6378300.789,293.4663155389802]","Clarke 1880 (Benoit)","EPSG","2.1(3.0.1)","no"
7011,7011,"PE_S_CLARKE_1880_IGN","Clarke_1880_IGN","SPHEROID[""Clarke_1880_IGN"",6378249.2,293.4660212936265]","Clarke 1880 (IGN)","EPSG","4.1(3.0.1)","no"
7012,7012,"PE_S_CLARKE_1880_RGS","Clarke_1880_RGS","SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]","Clarke 1880 (RGS)","EPSG","2.1(3.0.1)","no"
7013,7013,"PE_S_CLARKE_1880_ARC","Clarke_1880_Arc","SPHEROID[""Clarke_1880_Arc"",6378249.145,293.466307656]","Clarke 1880 (Arc)","EPSG","5.2(3.0.1)","no"
7014,7014,"PE_S_CLARKE_1880_SGA","Clarke_1880_SGA","SPHEROID[""Clarke_1880_SGA"",6378249.2,293.46598]","Clarke 1880 (SGA)","EPSG","2.1(3.0.1)","no"
7015,7015,"PE_S_EVEREST_ADJ_1937","Everest_Adjustment_1937","SPHEROID[""Everest_Adjustment_1937"",6377276.345,300.8017]","Everest (adjustment 1937)","EPSG","3.0(3.0.1)","no"
7016,7016,"PE_S_EVEREST_DEF_1967","Everest_Definition_1967","SPHEROID[""Everest_Definition_1967"",6377298.556,300.8017]","Everest (definition 1967)","EPSG","2.1(3.0.1)","no"
7018,7018,"PE_S_EVEREST_MOD","Everest_1830_Modified","SPHEROID[""Everest_1830_Modified"",6377304.063,300.8017]","Everest 1830 (modified)","EPSG","2.1(3.0.1)","no"
7019,7019,"PE_S_GRS_1980","GRS_1980","SPHEROID[""GRS_1980"",6378137.0,298.257222101]","GRS 1980","EPSG","8.2.6(3.0.1)","no"
7020,7020,"PE_S_HELMERT_1906","Helmert_1906","SPHEROID[""Helmert_1906"",6378200.0,298.3]","Helmert 1906","EPSG","2.1(3.0.1)","no"
7021,7021,"PE_S_INDONESIAN","Indonesian","SPHEROID[""Indonesian"",6378160.0,298.247]","Indonesian National","EPSG","2.1(3.0.1)","no"
7022,7022,"PE_S_INTERNATIONAL_1924","International_1924","SPHEROID[""International_1924"",6378388.0,297.0]","International 1924","EPSG","2.1(3.0.1)","no"
7023,7023,"PE_S_INTERNATIONAL_1967","International_1967","SPHEROID[""International_1967"",6378160.0,298.25]","International 1967","Esri","3.0.1","no"
7024,7024,"PE_S_KRASOVSKY_1940","Krasovsky_1940","SPHEROID[""Krasovsky_1940"",6378245.0,298.3]","Krasovsky 1940","EPSG","2.1(3.0.1)","no"
7025,7025,"PE_S_NWL_9D","NWL_9D","SPHEROID[""NWL_9D"",6378145.0,298.25]","Transit precise ephemeris","EPSG","2.1(3.0.1)","no"
7026,7026,"PE_S_NWL_10D","NWL_10D","SPHEROID[""NWL_10D"",6378135.0,298.26]","NWL-10D == WGS 1972","Esri","3.0.1","no"
7027,7027,"PE_S_PLESSIS_1817","Plessis_1817","SPHEROID[""Plessis_1817"",6376523.0,308.64]","Plessis 1817","EPSG","2.1(3.0.1)","no"
7028,7028,"PE_S_STRUVE_1860","Struve_1860","SPHEROID[""Struve_1860"",6378298.3,294.73]","Struve 1860","EPSG","4.2(3.0.1)","no"
7029,7029,"PE_S_WAR_OFFICE","War_Office","SPHEROID[""War_Office"",6378300.0,296.0]","War Office","EPSG","7.1.9(3.0.1)","no"
7030,7030,"PE_S_WGS_1984","WGS_1984","SPHEROID[""WGS_1984"",6378137.0,298.257223563]","WGS 1984","EPSG","8.8(3.0.1)","no"
7031,7031,"PE_S_GEM_10C","GEM_10C","SPHEROID[""GEM_10C"",6378137.0,298.257223563]","GEM gravity potential model","EPSG","2.1(3.0.1)","no"
7032,7032,"PE_S_OSU_86F","OSU_86F","SPHEROID[""OSU_86F"",6378136.2,298.257223563]","OSU 1986 geoidal model","EPSG","2.1(3.0.1)","no"
7033,7033,"PE_S_OSU_91A","OSU_91A","SPHEROID[""OSU_91A"",6378136.3,298.257223563]","OSU 1991 geoidal model","EPSG","2.1(3.0.1)","no"
7034,7034,"PE_S_CLARKE_1880","Clarke_1880","SPHEROID[""Clarke_1880"",6378249.144808011,293.4663076556253]","Clarke 1880","EPSG","6.16(3.0.1)","no"
7035,7035,"PE_S_SPHERE","Sphere","SPHEROID[""Sphere"",6371000.0,0.0]","Authalic sphere","EPSG","2.1(3.0.1)","no"
7036,7036,"PE_S_GRS_1967","GRS_1967","SPHEROID[""GRS_1967"",6378160.0,298.247167427]","GRS 1967 = International 1967","EPSG","7.6.6(3.0.1)","no"
7041,7041,"PE_S_ATS_1977","ATS_1977","SPHEROID[""ATS_1977"",6378135.0,298.257]","Average Terrestrial System 1977","EPSG","3.2(4.0.0)","no"
7042,7042,"PE_S_EVEREST_1830","Everest_1830","SPHEROID[""Everest_1830"",6377299.36,300.8017]","Everest 1830 (definition)","EPSG","6.16(3.0.1)","no"
7043,7043,"PE_S_WGS_1972","WGS_1972","SPHEROID[""WGS_1972"",6378135.0,298.26]","WGS 1972","EPSG","4.3(3.0.1)","no"
7044,7044,"PE_S_EVEREST_DEF_1962","Everest_Definition_1962","SPHEROID[""Everest_Definition_1962"",6377301.243,300.8017255]","Everest (definition 1962)","EPSG","4.4(8.1.0)","no"
7045,7045,"PE_S_EVEREST_DEF_1975","Everest_Definition_1975","SPHEROID[""Everest_Definition_1975"",6377299.151,300.8017255]","Everest (definition 1975)","EPSG","4.4(3.0.1)","no"
7048,7048,"PE_S_SPHERE_GRS_1980_AUTHALIC","Sphere_GRS_1980_Authalic","SPHEROID[""Sphere_GRS_1980_Authalic"",6371007.0,0.0]","Authalic Sphere based on GRS80","EPSG","5.21(9.0.0)","no"
7049,7049,"PE_S_XIAN_1980","Xian_1980","SPHEROID[""Xian_1980"",6378140.0,298.257]","Xian 1980","EPSG","7.2(9.0.0)","no"
7050,7050,"PE_S_GRS_1967_TRUNC","GRS_1967_Truncated","SPHEROID[""GRS_1967_Truncated"",6378160.0,298.25]","GRS 1967 Truncated - was 107036, called GRS67 Modified in EPSG","EPSG","6.18(10.0.0)","no"
7051,7051,"PE_S_DANISH_1876","Danish_1876","SPHEROID[""Danish_1876"",6377019.27,300.0]","Danish 1876","EPSG","6.4(9.0.0)","no"
